Ticker,Type,Période_détail,Période,en XOF,Chiffre d'Affaires,Résultat d'Exploitation,Résultat Financier,Résultat des activités ordinaires,Résultat Hors Activités Ordinaires,Résultat Net,Total Bilan,,Produit net bancaire,Résultat Brut d'Exploitation,Coût du risque,Créances sur la clientèle,Dettes à l'égard de la clientèle,Résultat avant impôts,EBITDAal
TTLS,Trimestriel,T3,3èmetrimestre2022,* Données trimestrielles en millions de XOF,357587,,,11265,,-,,,,,,,,,
TTLS,Trimestriel,T3,3èmetrimestre2021,* Données trimestrielles en millions de XOF,285911,,,6330,,-,,,,,,,,,
TTLS,Trimestriel,T3,3èmetrimestre2020,* Données trimestrielles en millions de XOF,289862,,,6948,,-,,,,,,,,,
TTLS,Autres,T1,2025,* Données trimestrielles en millions de XOF,110814,,,2051,,1513,,,,,,,,,
UNLC,Annuel,An,2023,* Données annuelles en milliers de XOF,34682083,1573553,-740306,833247,970616,640335,23009563,,,,,,,,
UNLC,Annuel,An,2022,* Données annuelles en milliers de XOF,36174563,-4253584,-1267459,-5521042,-257587,-6908362,24484388,,,,,,,,
UNLC,Annuel,An,2021,* Données annuelles en milliers de XOF,46059379,-13697340,-778683,-14476023,16675863,175,35565021,,,,,,,,
UNLC,Annuel,An,2020,* Données annuelles en milliers de XOF,41393490,-7172118,-220242,-7392365,5017835,-2409525,48221668,,,,,,,,
UNLC,Annuel,An,2019,* Données annuelles en milliers de XOF,56379066,-16285392,-1632240,-17917632,-3939639,-21857272,60633338,,,,,,,,
UNLC,Annuel,An,2018,* Données annuelles en milliers de XOF,55517396,-6659251,-4695107,-,7312144,-4077214,69254000,,,,,,,,
UNLC,Annuel,An,2017,* Données annuelles en milliers de XOF,60003768,-1644971,-1965983,-,55389,-3590565,68060000,,,,,,,,
UNLC,Annuel,An,2016,* Données annuelles en milliers de XOF,57489135,-7370420,-1490196,-8860617,-1737716,-10633332,75558659,,,,,,,,
UNLC,Annuel,An,2015,* Données annuelles en milliers de XOF,55909256,-5302366,-1835909,-7138274,4561971,-2611303,60711541,,,,,,,,
UNLC,Semestriel,S1,1ersemestre2018,* Données semestrielles en XOF,30641347,-2097575,-2570767,-,1157840,-3528002,,,,,,,,,
UNLC,Semestriel,S1,1ersemestre2017,* Données semestrielles en XOF,31006652,-1696988,-1304299,-3001287,73443,-2945344,,,,,,,,,
UNLC,Semestriel,S1,1ersemestre2016,* Données semestrielles en XOF,28992014,-2586966,-566147,-3153113,-1602036,-4772649,,,,,,,,,
UNLC,Trimestriel,T1,1ertrimestre2023,* Données trimestrielles en milliers de XOF,7814000,-,-,78000,-,69000,,,,,,,,,
UNLC,Trimestriel,T1,1ertrimestre2022,* Données trimestrielles en milliers de XOF,9200000,-,-,655000,-,401000,,,,,,,,,
UNLC,Trimestriel,T1,1ertrimestre2021,* Données trimestrielles en milliers de XOF,12249715,123875,-277899,-154000,-496,-163271,,,,,,,,,
UNLC,Trimestriel,T1,1ertrimestre2020,* Données trimestrielles en milliers de XOF,11511070,259804,-178133,-,0,61253,,,,,,,,,
UNLC,Trimestriel,T1,1ertrimestre2019,* Données trimestrielles en milliers de XOF,13787205,428038,-702478,-,16094,-267096,,,,,,,,,
UNLC,Trimestriel,T1,1ertrimestre2018,* Données trimestrielles en milliers de XOF,15989405,155859,-2695715,-,6746,-2541860,,,,,,,,,
UNLC,Trimestriel,T1,1ertrimestre2017,* Données trimestrielles en milliers de XOF,15760771,-1382163,-,-,-,-1556156,,,,,,,,,
UNLC,Trimestriel,T1,1ertrimestre2016,* Données trimestrielles en milliers de XOF,14170864,-1303564,-,-,-,-3179340,,,,,,,,,
UNLC,Trimestriel,T3,3èmetrimestre2018,* Données trimestrielles en XOF,42590963,-4810603,,,,-1133128,,,,,,,,,
UNLC,Trimestriel,T3,3èmetrimestre2017,* Données trimestrielles en XOF,45389644,-1384840,,,,-3192457,,,,,,,,,
UNLC,Trimestriel,T3,3èmetrimestre2016,* Données trimestrielles en XOF,42897822,-4295953,,,,-6558287,,,,,,,,,
UNXC,Annuel,An,2024,* Données annuelles en XOF,27333349555,-2136021358,-23146043,-2159167401,5229499,-2188937902,34241097739,,,,,,,,
UNXC,Annuel,An,2023,* Données annuelles en XOF,29686986976,-1828597291,-27118609,-1855715900,9695636,-2054070779,38556378909,,,,,,,,
UNXC,Annuel,An,2022,* Données annuelles en XOF,36372536951,-1212860306,-102447036,-,20632370,-1298674972,39705901306,,,,,,,,
UNXC,Annuel,An,2021,* Données annuelles en XOF,38191193639,1984939431,14435110,-,552300,1400692889,37292681535,,,,,,,,
UNXC,Annuel,An,2020,* Données annuelles en XOF,34916710441,537047311,25269955,-,-17244003,231265060,32742029278,,,,,,,,
UNXC,Annuel,An,2019,* Données annuelles en XOF,40166658390,4318973894,2977436,4321951330,-2179710,3094074102,38293838977,,,,,,,,
UNXC,Annuel,An,2018,* Données annuelles en XOF,38977247633,5511306420,-31486700,-,900000,4197877975,35436275511,,,,,,,,
UNXC,Annuel,An,2017,* Données annuelles en XOF,37667297908,5434823525,8845437,5443668962,5283212,4013814057,32294593278,,,,,,,,
UNXC,Annuel,An,2016,* Données annuelles en XOF,37163772757,6427250452,-366223720,6061026732,-6646664,4087002631,29918909280,,,,,,,,
UNXC,Annuel,An,2015,* Données annuelles en XOF,39395242707,7270927797,-1241198611,6029729186,6401669,4357587242,24324511919,,,,,,,,
UNXC,Semestriel,S1,1ersemestre2025,* Données semestrielles en XOF,15711008256,-314219541,-15823733,-330043274,9993559166,8216545331,,,,,,,,-,
UNXC,Semestriel,S1,1ersemestre2024,* Données semestrielles en XOF,13967598566,-1855774915,-24563718,-1880338633,4740729,-1910597904,,,,,,,,-,
UNXC,Semestriel,S1,1ersemestre2023,* Données semestrielles en XOF,18075556478,229913491,-11962394,217951097,5565838,167637701,,,,,,,,-,
UNXC,Semestriel,S1,1ersemestre2022,* Données semestrielles en XOF,21553026662,1349155361,-53700852,1295454509,14482421,982452697,,,,,,,,-,
UNXC,Semestriel,S1,1ersemestre2021,* Données semestrielles en XOF,20549934531,1523295890,15003491,1538299381,32080,1153748596,,,,,,,,-,
UNXC,Semestriel,S1,1ersemestre2020,* Données semestrielles en XOF,16629360772,439534616,42923292,482457908,-10166788,352218340,,,,,,,,-,
UNXC,Semestriel,S1,1ersemestre2019,* Données semestrielles en XOF,20838332772,2085847656,-27358669,2058488987,121985,1506228567,,,,,,,,2058610972,
