Ticker,Période,Période_détail,CA_PNB,Total Bilan,RE_RBE,Résultat Net,Capitaux propres
SHEC,2017,An,311414000000.0,92328185000.0,7593509000.0,5004540000.0,
SIBC,2017,An,56747000000.0,989868000000.0,29211000000.0,22530000000.0,74752000000.0
SICC,2017,An,1105303043.0,3680132932.0,129788224.0,100567494.0,
SIVC,2017,An,7530357170.0,18479955915.0,-974423080.0,-990908826.0,
SLBC,2017,An,193372000000.0,258729000000.0,7642000000.0,4250000000.0,
SMBC,2017,An,90262000000.0,89093000000.0,11235000000.0,7506000000.0,
SNTS,2017,An,972905000000.0,1595660000000.0,307787000000.0,202186000000.0,
SOGC,2017,An,70043206000.0,87393833000.0,14682214000.0,10427997000.0,
SPHC,2017,An,151979000000.0,137320000000.0,17823966000.0,12860964000.0,
STAC,2017,An,3866311000.0,3856937000.0,619367000.0,877060000.0,
STBC,2017,An,67200676222.0,28338404970.0,-3439795432.0,-4581144501.0,
SVOC,2017,An,12678000000.0,17333000000.0,892000000.0,-836000000.0,
TTLC,2017,An,362203000000.0,123059000000.0,15152000000.0,10422000000.0,
TTLS,2017,An,309648000000.0,110904000000.0,7606367000.0,4156435000.0,19598194880.0
UNLC,2017,An,60003768000.0,68060000000.0,-1644971000.0,-3590565000.0,
UNXC,2017,An,37667297908.0,32294593278.0,5434823525.0,4013814057.0,
ABJC,2018,An,12217280182.0,8651487602.0,2012163156.0,1509605657.0,4500013737.0
BICC,2018,An,48787000000.0,677786000000.0,16424000000.0,9793000000.0,65092000000.0
BNBC,2018,An,44349634000.0,48170096000.0,2528676000.0,1650101000.0,14448578209.0
BOAB,2018,An,39387000000.0,861015000000.0,16858000000.0,12724000000.0,79714322882.0
BOABF,2018,An,39643000000.0,790804000000.0,20846000000.0,17293000000.0,66820394010.0
BOAC,2018,An,32833000000.0,576928000000.0,13763000000.0,11699000000.0,45531000000.0
BOAM,2018,An,29726000000.0,484979000000.0,6257000000.0,6340000000.0,38117611026.0
BOAN,2018,An,20630000000.0,300491000000.0,10376000000.0,7666000000.0,32716309061.0
BOAS,2018,An,24949000000.0,449936000000.0,8837000000.0,8508000000.0,38335000000.0
CABC,2018,An,13290994189.0,13155114989.0,607549388.0,762719881.0,5919163852.0
CBIBF,2018,An,56705000000.0,1152250000000.0,34269000000.0,24531000000.0,
CFAC,2018,An,97870689715.0,55583491203.0,8327956428.0,6489294992.0,25667522143.0
CIEC,2018,An,587236000000.0,928359000000.0,6976049000.0,4929701000.0,
ECOC,2018,An,84822000000.0,1467880000000.0,38920000000.0,20707000000.0,109479000000.0
ETIT,2018,An,1014370000000.0,12891500000000.0,390374000000.0,138487000000.0,
FTSC,2018,An,43898979000.0,56064645000.0,2260417000.0,1682581000.0,
NEIC,2018,An,8106737783.0,7468789431.0,998042475.0,774874633.0,
NSBC,2018,An,67762000000.0,1084730000000.0,25368000000.0,12196000000.0,88564000000.0
NTLC,2018,An,142871000000.0,121740000000.0,6812464871.0,819348971.0,
ONTBF,2018,An,159027000000.0,200273000000.0,45955025000.0,31814300000.0,
ORGT,2018,An,107687000000.0,2159900000000.0,17265000000.0,12491000000.0,129567000000.0
PALC,2018,An,100793000000.0,117299000000.0,-11605542144.0,-12612926295.0,
PRSC,2018,An,51556000000.0,36767591000.0,3038000000.0,2012751000.0,
SAFC,2018,An,,62861000000.0,148000000.0,67000000.0,
SCRC,2018,An,56187000000.0,93617000000.0,1508000000.0,-301000000.0,47448593674.0
SDCC,2018,An,98432703000.0,211329000000.0,3825358000.0,2863674000.0,
SDSC,2018,An,89298914000.0,124996000000.0,3835243000.0,10408503000.0,
SEMC,2018,An,19797267000.0,20201694000.0,336187000.0,-74528000.0,
SGBC,2018,An,127970000000.0,1902580000000.0,63454000000.0,41841000000.0,
SHEC,2018,An,347717000000.0,100128000000.0,8041403000.0,5389160000.0,
SIBC,2018,An,65941000000.0,1069790000000.0,35360000000.0,23200000000.0,87449000000.0
SICC,2018,An,1393219028.0,3933301419.0,103323999.0,989401440.0,
SIVC,2018,An,7446826835.0,18031095309.0,-13346446.0,-81836547.0,
SLBC,2018,An,202816000000.0,271179000000.0,7107000000.0,1305000000.0,
SMBC,2018,An,134198000000.0,99817000000.0,11376000000.0,7877000000.0,
SNTS,2018,An,1098700000000.0,1676180000000.0,307611000000.0,187091000000.0,
SOGC,2018,An,56700298000.0,86506526000.0,4418294000.0,2977497000.0,
SPHC,2018,An,129855000000.0,135042000000.0,2071630000.0,-847996000.0,
STAC,2018,An,7139448000.0,8979086000.0,444621000.0,365742000.0,
STBC,2018,An,76802068329.0,21591993716.0,-1845120794.0,-2294782224.0,
SVOC,2018,An,14289000000.0,25410000000.0,-82000000.0,170000000.0,
TTLC,2018,An,425051000000.0,141579000000.0,15097000000.0,11523000000.0,
TTLS,2018,An,382175000000.0,141007000000.0,11052739000.0,6342187000.0,23904275000.0
UNLC,2018,An,55517396000.0,69254000000.0,-6659251000.0,-4077214000.0,
UNXC,2018,An,38977247633.0,35436275511.0,5511306420.0,4197877975.0,
ABJC,2019,An,12195637944.0,8083601728.0,1995167508.0,1532787784.0,4032801521.0
BICC,2019,An,45937000000.0,748861000000.0,13880000000.0,-3612000000.0,58147000000.0
BNBC,2019,An,41285545000.0,45293541000.0,944286000.0,423125000.0,14791000000.0
BOAB,2019,An,41388000000.0,920808000000.0,18698000000.0,15002000000.0,85833358976.0
BOABF,2019,An,42708000000.0,867213000000.0,23391000000.0,18511000000.0,76129475212.0
BOAC,2019,An,35375000000.0,608499000000.0,15855000000.0,14382000000.0,53113000000.0
BOAM,2019,An,32055000000.0,577348000000.0,9176000000.0,-6987000000.0,26311363594.0
BOAN,2019,An,23448000000.0,343902000000.0,11529000000.0,8502000000.0,35823959061.0
BOAS,2019,An,30102000000.0,534863000000.0,12365000000.0,9115000000.0,43184000000.0
CABC,2019,An,15199536904.0,13994028124.0,884361856.0,637951839.0,6063782358.0
CBIBF,2019,An,59005000000.0,1211790000000.0,36508000000.0,27692000000.0,140963000000.0
CFAC,2019,An,103290000000.0,58521584102.0,7482882635.0,5255468516.0,24574974159.0
CIEC,2019,An,666829000000.0,1049470000000.0,10338703000.0,6534424000.0,
ECOC,2019,An,83400000000.0,1494460000000.0,39343000000.0,25365000000.0,120089000000.0
ETIT,2019,An,950264000000.0,13804200000000.0,321515000000.0,161047000000.0,
FTSC,2019,An,40436698000.0,51051574000.0,2192357000.0,1855141000.0,
NEIC,2019,An,6438263501.0,7608319991.0,1155381970.0,587989815.0,
NSBC,2019,An,63150000000.0,1193790000000.0,19986000000.0,13617000000.0,97181000000.0
NTLC,2019,An,156324000000.0,114901000000.0,2398689273.0,-3517664369.0,
ONTBF,2019,An,154061000000.0,261564000000.0,45759267000.0,30085908000.0,
ORAC,2019,An,784054000000.0,1531750000000.0,168453000000.0,106842000000.0,
ORGT,2019,An,124704000000.0,2634340000000.0,23790000000.0,18327000000.0,140648000000.0
PALC,2019,An,104588000000.0,126600000000.0,-3978947043.0,-5562420807.0,
PRSC,2019,An,54776000000.0,35607000000.0,2807000000.0,1807000000.0,
SAFC,2019,An,,63371000000.0,-86000000.0,-211000000.0,
SCRC,2019,An,56656000000.0,92298000000.0,-1134000000.0,-5339000000.0,43750504000.0
SDCC,2019,An,98432703000.0,238492000000.0,3825358000.0,2863674000.0,
SDSC,2019,An,88182968000.0,122157000000.0,4093959000.0,9382776000.0,
SEMC,2019,An,18685566000.0,18107898000.0,1021451000.0,690340000.0,
SGBC,2019,An,150316000000.0,2152650000000.0,72432000000.0,50253000000.0,
SHEC,2019,An,354252000000.0,96388502000.0,8088399000.0,5465466000.0,
SIBC,2019,An,71887000000.0,1099400000000.0,39237000000.0,28057000000.0,101506000000.0
SICC,2019,An,1856990827.0,3925048002.0,163015925.0,2350841.0,
SIVC,2019,An,7170432956.0,17351927849.0,-737217856.0,-26523307.0,
SLBC,2019,An,225004000000.0,275982000000.0,17267000000.0,13095000000.0,
