Ticker,Date,Variation,Volume Devise Total,Cours Ajuste,Volume Ajuste Total,Cours Normal,Volume Normal Total
ABJC M,2017-07,-3.85,63097815,2500,23609,2500,23609
ABJC M,2017-06,36.84,85547780,2600,35220,2600,35220
ABJC M,2017-05,-35.48,25627300,1900,10601,1900,10601
ABJC M,2017-04,-10.76,48616415,2945,15667,2945,15667
ABJC M,2017-03,-22.35,120765700,3300,33870,3300,33870
ABJC M,2017-02,-6.8,69803020,4250,15492,4250,15492
ABJC M,2017-01,-15.16,61461690,4560,12929,4560,12929
ABJC M,2016-12,1.32,82302225,5375,15603,5375,15603
ABJC M,2016-11,6.1,80325485,5305,14888,5305,14888
ABJC M,2016-10,-34.9,236927865,5000,41176,5000,41176
ABJC M,2016-09,2.4,750397490,7680,91747,7680,5050
ABJC M,2016-08,0.0,268272425,7500,36060,150000,1803
ABJC M,2016-07,-6.25,292445245,7500,38900,150000,1945
ABJC M,2016-06,8.84,846995585,8000,109900,160000,5495
ABJC M,2016-05,19.51,1973539655,7350,281540,147000,14077
ABJC M,2016-04,49.09,1657684145,6150,293620,123000,14681
ABJC M,2016-03,4.43,141280990,4125,34720,82500,1736
ABJC M,2016-02,-1.25,491780760,3950,121740,79000,6087
ABJC M,2016-01,-5.88,33965210,4000,8460,80000,423
ABJC M,2015-12,6.65,635586675,4250,158980,85000,7949
ABJC M,2015-11,-1.6,2317490495,3985,625800,79700,31290
ABJC M,2015-10,1.25,83357980,4050,20600,81000,1030
ABJC M,2015-09,-5.33,128748450,4000,31720,80000,1586
ABJC M,2015-08,5.63,91899540,4225,22620,84500,1131
ABJC M,2015-07,6.67,333088765,4000,82700,80000,4135
ABJC M,2015-06,36.36,132068110,3750,47300,75000,2365
ABJC M,2015-05,6.18,91250550,2750,33200,55000,1660
ABJC M,2015-04,-12.2,119652690,2590,46580,51800,2329
ABJC M,2015-03,51.28,242075360,2950,121340,58990,6067
ABJC M,2015-02,0.78,78992650,1950,40520,38995,2026
ABJC M,2015-01,-0.51,65282295,1935,35060,38700,1753
ABJC M,2014-12,-2.75,180391770,1945,95480,38900,4774
ABJC M,2014-11,25.0,90907140,2000,49640,40000,2482
ABJC M,2014-10,-0.81,43770460,1600,30120,32000,1506
ABJC M,2014-09,11.24,24668980,1613,17200,32250,860
ABJC M,2014-08,1.75,33019300,1450,22700,29000,1135
ABJC M,2014-07,23.91,46084825,1425,36320,28500,1816
ABJC M,2014-06,0.0,17113830,1150,15320,23000,766
ABJC M,2014-05,3.32,16883410,1150,14800,23000,740
ABJC M,2014-04,-3.22,19741645,1113,17120,22255,856
ABJC M,2014-03,-4.17,23317040,1150,20480,23000,1024
ABJC M,2014-02,-4.0,23721145,1200,18700,24000,935
ABJC M,2014-01,8.6,14527645,1250,12580,25000,629
ABJC M,2013-12,-4.48,19980510,1151,17540,23010,877
ABJC M,2013-11,14.76,33896840,1205,28280,24100,1414
ABJC M,2013-10,10.53,81692620,1050,81660,21005,4083
ABJC M,2013-09,-5.0,27410920,950,26440,19000,1322
ABJC M,2013-08,9.41,21577530,1000,22120,20000,1106
ABJC M,2013-07,-8.05,19653550,914,23420,18275,1171
ABJC M,2013-06,1.12,14216740,994,18780,19875,939
ABJC M,2013-05,66.33,33288895,983,41480,19660,2074
ABJC M,2013-04,13.65,4601000,591,8540,11825,427
ABJC M,2013-03,22.35,6126410,520,12440,10400,622
ABJC M,2013-02,1.67,7581390,425,18140,8500,907
ABJC M,2013-01,-12.0,4905550,418,10800,8350,540
ABJC M,2012-12,5.56,3898020,475,8480,9500,424
ABJC M,2012-11,-29.13,7462985,450,13540,9000,677
ABJC M,2012-10,81.43,27439420,635,56120,12700,2806
ABJC M,2012-09,0.0,4564875,350,13020,7000,651
ABJC M,2012-08,25.9,6653100,350,19820,7000,991
ABJC M,2012-07,-6.71,3455700,278,11080,5550,554
ABJC M,2012-06,-8.02,880750,298,2940,5950,147
ABJC M,2012-05,-13.6,1500915,324,4320,6475,216
ABJC M,2012-04,-15.73,11597665,375,26400,7500,1320
ABJC M,2012-03,-1.11,5347850,445,11980,8900,599
ABJC M,2012-02,12.5,3584475,450,8840,9000,442
ABJC M,2012-01,7.53,5544225,400,1051360,8000,52568
ABJC M,2011-12,15.17,2641900,372,8200,7445,410
ABJC M,2011-11,43.56,9148850,323,32140,6450,1607
ABJC M,2011-10,12.5,811000,225,4020,4500,201
ABJC M,2011-09,3.63,388400,200,1960,4000,98
ABJC M,2011-08,24.52,1551860,193,8180,3850,409
ABJC M,2011-07,0.0,18630,155,120,3105,6
ABJC M,2011-06,-8.28,397880,155,2420,3105,121
ABJC M,2011-05,-15.5,226815,169,1260,3385,63
ABJC M,2011-03,-4.76,44000,200,220,4000,11
ABJC M,2011-01,-6.67,716400,210,3220,4200,161
ABJC M,2010-12,0.0,198000,225,880,4500,44
ABJC M,2010-11,0.0,319500,225,1420,4500,71
ABJC M,2010-10,7.14,148800,225,680,4500,34
ABJC M,2010-09,0.0,722900,210,3500,4200,175
ABJC M,2010-08,5.0,904500,210,4540,4200,227
ABJC M,2010-07,0.0,320000,200,1600,4000,80
ABJC M,2010-06,14.29,737200,200,3880,4000,194
ABJC M,2010-05,2.94,978160,175,5740,3500,287
ABJC M,2010-04,-13.27,626615,170,3580,3400,179
ABJC M,2010-03,-11.71,762960,196,3680,3920,184
ABJC M,2010-02,0.0,88800,222,400,4440,20
ABJC M,2010-01,0.0,515620,222,2320,4445,116
ABJC M,2009-12,0.0,261960,222,1180,4440,59
ABJC M,2009-11,-0.45,244405,222,1100,4440,55
ABJC M,2009-10,0.0,297700,223,1340,4450,67
ABJC M,2009-09,0.0,765705,223,3440,4450,172
ABJC M,2009-08,0.45,249380,223,1120,4455,56
ABJC M,2009-07,0.0,1974535,222,8900,4445,445
ABJC M,2009-06,-0.45,182395,222,820,4445,41
ABJC M,2009-05,-14.23,249530,223,1060,4450,53
ABJC M,2009-04,0.0,192400,260,740,5200,37
ABJC M,2009-03,-8.77,368000,260,1360,5200,68
ABJC M,2009-02,0.0,467400,285,1640,5700,82
ABJC M,2009-01,0.0,11400,285,40,5700,2
ABJC M,2008-12,0.0,148200,285,520,5700,26
ABJC M,2008-11,-15.43,5372850,285,18760,5700,938
ABJC M,2008-10,-60.21,6555150,337,12120,6745,606
ABJC M,2008-09,3.55,35135450,847,33860,16930,1693
ABJC M,2008-08,103.99,25812305,818,36440,16355,1822
ABJC M,2008-07,37.8,5039780,401,14620,8010,731
ABJC M,2008-06,17.34,53487485,291,5049420,5815,252471
