Ticker,Période_détail,Période,CA_PNB,Total Bilan,RE_RBE,Résultat Net,Capitaux propres
BOABF,S2,2018,39643000000.0,,20846000000.0,17293000000.0,
BOABF,S2,2017,36417000000.0,,18854000000.0,12713000000.0,
BOABF,T1,2024,13906000000.0,,,6230000000.0,
BOABF,T1,2023,14669000000.0,,,6821000000.0,
BOABF,T1,2022,12084000000.0,,,6015000000.0,
BOABF,T1,2021,11466000000.0,,,5075000000.0,
BOABF,T1,2020,10893000000.0,,,4266000000.0,
BOABF,T1,2019,9190000000.0,,,3541000000.0,
BOABF,T1,2018,9332000000.0,,,3799000000.0,
BOABF,T1,2017,8159000000.0,,,3002000000.0,
BOABF,T1,2016,8207000000.0,,,2837000000.0,
BOABF,T3,2024,42911000000.0,,,18594000000.0,
BOABF,T3,2023,44930000000.0,,,22299000000.0,
BOABF,T3,2022,40593000000.0,,,19046000000.0,
BOABF,T3,2021,37272000000.0,,,18002000000.0,
BOABF,T3,2020,34304000000.0,,,14013000000.0,
BOABF,T3,2019,31333000000.0,,,13306000000.0,
BOABF,T3,2018,28820000000.0,,,11370000000.0,
BOABF,T3,2017,26959000000.0,,,10740000000.0,
BOABF,T3,2016,24711000000.0,,,9077000000.0,
BOAC,An,2024,72724000000.0,1075479000000.0,46014000000.0,32044000000.0,
BOAC,An,2023,60811000000.0,938739000000.0,35842000000.0,26075000000.0,
BOAC,An,2022,47810000000.0,843300000000.0,24637000000.0,20069000000.0,
BOAC,An,2021,41545000000.0,714509000000.0,19904000000.0,16638000000.0,
BOAC,An,2020,40811000000.0,686536000000.0,19977000000.0,14216000000.0,
BOAC,An,2019,35375000000.0,608499000000.0,15855000000.0,14382000000.0,
BOAC,An,2018,32833000000.0,576928000000.0,13763000000.0,11699000000.0,
BOAC,An,2017,30063000000.0,640023000000.0,13911000000.0,9879000000.0,
BOAC,An,2016,29006000000.0,623026000000.0,14751000000.0,10149000000.0,
BOAC,An,2015,25269000000.0,607138000000.0,11806000000.0,8240000000.0,
BOAC,S1,2024,36343000000.0,,24262000000.0,17639000000.0,
BOAC,S1,2023,30279000000.0,,18507000000.0,16568000000.0,
BOAC,S1,2022,21880000000.0,,10195000000.0,8571000000.0,
BOAC,S1,2021,20399000000.0,,9916000000.0,9043000000.0,
BOAC,S1,2020,19926000000.0,,10034000000.0,7312000000.0,
BOAC,S1,2019,17097000000.0,,7684000000.0,6734000000.0,
BOAC,S1,2018,15727000000.0,,7589000000.0,6756000000.0,
BOAC,S1,2017,15205000000.0,,7687000000.0,5980000000.0,
BOAC,S1,2016,14424000000.0,,7465000000.0,5091000000.0,
BOAC,T1,2024,17528000000.0,,11758000000.0,9340000000.0,
BOAC,T1,2023,14878000000.0,,9213000000.0,7100000000.0,
BOAC,T1,2022,10615000000.0,,,5141000000.0,
BOAC,T1,2021,10519000000.0,,,5590000000.0,
BOAC,T1,2020,10104000000.0,,,4457000000.0,
BOAC,T1,2019,7956000000.0,,,2697000000.0,
BOAC,T1,2018,8303000000.0,,,3341000000.0,
